cache_size_log2,line_size_log2,set_size_log2,hits,accesses
9,3,0,403627,515684
9,3,1,435288,515684
9,3,2,440260,515684
9,3,3,439590,515684
9,3,4,438907,515684
9,3,5,439219,515684
9,3,6,439639,515684
9,4,0,413541,515684
9,4,1,442485,515684
9,4,2,444654,515684
9,4,3,446025,515684
9,4,4,444432,515684
9,4,5,446869,515684
9,5,0,416077,515684
9,5,1,440082,515684
9,5,2,443820,515684
9,5,3,442080,515684
9,5,4,443387,515684
9,6,0,405020,515684
9,6,1,422687,515684
9,6,2,426397,515684
9,6,3,422991,515684
9,7,0,374533,515684
9,7,1,393249,515684
9,7,2,389803,515684
9,8,0,350629,515684
9,8,1,360328,515684
10,3,0,423689,515684
10,3,1,458517,515684
10,3,2,467126,515684
10,3,3,467312,515684
10,3,4,467638,515684
10,3,5,467419,515684
10,3,6,467369,515684
10,3,7,467650,515684
10,4,0,433962,515684
10,4,1,465394,515684
10,4,2,475928,515684
10,4,3,476527,515684
10,4,4,477022,515684
10,4,5,476860,515684
10,4,6,477185,515684
10,5,0,437421,515684
10,5,1,463449,515684
10,5,2,474234,515684
10,5,3,477718,515684
10,5,4,478091,515684
10,5,5,477636,515684
10,6,0,428857,515684
10,6,1,456271,515684
10,6,2,469182,515684
10,6,3,469763,515684
10,6,4,471461,515684
10,7,0,401139,515684
10,7,1,441563,515684
10,7,2,447560,515684
10,7,3,450644,515684
10,8,0,381040,515684
10,8,1,407231,515684
10,8,2,410544,515684
11,3,0,450047,515684
11,3,1,473032,515684
11,3,2,480174,515684
11,3,3,481159,515684
11,3,4,481335,515684
11,3,5,481364,515684
11,3,6,481362,515684
11,3,7,481425,515684
11,3,8,481481,515684
11,4,0,459401,515684
11,4,1,478999,515684
11,4,2,490380,515684
11,4,3,491695,515684
11,4,4,491866,515684
11,4,5,492142,515684
11,4,6,492448,515684
11,4,7,492460,515684
11,5,0,463287,515684
11,5,1,477219,515684
11,5,2,490054,515684
11,5,3,494322,515684
11,5,4,494484,515684
11,5,5,495194,515684
11,5,6,494737,515684
11,6,0,458736,515684
11,6,1,471815,515684
11,6,2,487346,515684
11,6,3,492449,515684
11,6,4,492304,515684
11,6,5,492762,515684
11,7,0,448135,515684
11,7,1,461841,515684
11,7,2,479723,515684
11,7,3,483045,515684
11,7,4,485526,515684
11,8,0,429450,515684
11,8,1,431827,515684
11,8,2,463976,515684
11,8,3,465205,515684
12,3,0,474588,515684
12,3,1,485314,515684
12,3,2,486439,515684
12,3,3,486844,515684
12,3,4,486810,515684
12,3,5,486780,515684
12,3,6,486761,515684
12,3,7,486755,515684
12,3,8,486693,515684
12,3,9,486861,515684
12,4,0,484066,515684
12,4,1,493924,515684
12,4,2,497048,515684
12,4,3,497745,515684
12,4,4,497870,515684
12,4,5,497995,515684
12,4,6,497983,515684
12,4,7,498030,515684
12,4,8,498003,515684
12,5,0,489098,515684
12,5,1,497240,515684
12,5,2,501119,515684
12,5,3,502839,515684
12,5,4,503126,515684
12,5,5,503375,515684
12,5,6,503487,515684
12,5,7,503540,515684
12,6,0,488883,515684
12,6,1,496977,515684
12,6,2,498507,515684
12,6,3,503769,515684
12,6,4,503996,515684
12,6,5,504366,515684
12,6,6,504474,515684
12,7,0,479159,515684
12,7,1,491591,515684
12,7,2,492917,515684
12,7,3,500025,515684
12,7,4,500578,515684
12,7,5,500950,515684
12,8,0,468291,515684
12,8,1,479344,515684
12,8,2,481274,515684
12,8,3,490156,515684
12,8,4,493486,515684
13,3,0,483978,515684
13,3,1,489495,515684
13,3,2,490222,515684
13,3,3,490375,515684
13,3,4,490477,515684
13,3,5,490538,515684
13,3,6,490531,515684
13,3,7,490525,515684
13,3,8,490506,515684
13,3,9,490527,515684
13,3,10,490531,515684
13,4,0,494225,515684
13,4,1,499782,515684
13,4,2,500654,515684
13,4,3,500844,515684
13,4,4,500913,515684
13,4,5,500952,515684
13,4,6,500999,515684
13,4,7,501038,515684
13,4,8,501014,515684
13,4,9,500976,515684
13,5,0,497903,515684
13,5,1,504561,515684
13,5,2,505954,515684
13,5,3,506174,515684
13,5,4,506238,515684
13,5,5,506322,515684
13,5,6,506380,515684
13,5,7,506357,515684
13,5,8,506358,515684
13,6,0,496983,515684
13,6,1,506554,515684
13,6,2,508254,515684
13,6,3,508545,515684
13,6,4,508733,515684
13,6,5,508834,515684
13,6,6,508885,515684
