cache_size_log2,line_size_log2,set_size_log2,hits,accesses
9,3,0,403627,515684
9,3,1,441905,515684
9,3,2,449853,515684
9,3,3,451914,515684
9,3,4,452482,515684
9,3,5,452733,515684
9,3,6,453542,515684
9,4,0,413541,515684
9,4,1,447200,515684
9,4,2,453611,515684
9,4,3,458291,515684
9,4,4,458130,515684
9,4,5,462277,515684
9,5,0,416077,515684
9,5,1,444652,515684
9,5,2,451305,515684
9,5,3,454308,515684
9,5,4,457552,515684
9,6,0,405020,515684
9,6,1,427304,515684
9,6,2,436051,515684
9,6,3,438640,515684
9,7,0,374533,515684
9,7,1,397474,515684
9,7,2,399093,515684
9,8,0,350629,515684
9,8,1,364583,515684
10,3,0,423689,515684
10,3,1,463411,515684
10,3,2,474241,515684
10,3,3,475471,515684
10,3,4,476404,515684
10,3,5,476710,515684
10,3,6,477265,515684
10,3,7,477380,515684
10,4,0,433962,515684
10,4,1,468812,515684
10,4,2,481365,515684
10,4,3,482374,515684
10,4,4,483631,515684
10,4,5,483724,515684
10,4,6,484091,515684
10,5,0,437421,515684
10,5,1,466902,515684
10,5,2,479325,515684
10,5,3,483353,515684
10,5,4,484087,515684
10,5,5,484166,515684
10,6,0,428857,515684
10,6,1,459651,515684
10,6,2,474785,515684
10,6,3,477127,515684
10,6,4,477539,515684
10,7,0,401139,515684
10,7,1,444605,515684
10,7,2,456550,515684
10,7,3,460058,515684
10,8,0,381040,515684
10,8,1,412263,515684
10,8,2,419046,515684
11,3,0,450047,515684
11,3,1,476252,515684
11,3,2,485249,515684
11,3,3,486656,515684
11,3,4,487125,515684
11,3,5,487379,515684
11,3,6,487555,515684
11,3,7,487606,515684
11,3,8,487675,515684
11,4,0,459401,515684
11,4,1,482313,515684
11,4,2,494202,515684
11,4,3,496073,515684
11,4,4,496759,515684
11,4,5,496989,515684
11,4,6,497283,515684
11,4,7,497351,515684
11,5,0,463287,515684
11,5,1,480918,515684
11,5,2,493711,515684
11,5,3,498072,515684
11,5,4,498629,515684
11,5,5,499213,515684
11,5,6,499275,515684
11,6,0,458736,515684
11,6,1,475424,515684
11,6,2,491280,515684
11,6,3,496465,515684
11,6,4,496472,515684
11,6,5,496464,515684
11,7,0,448135,515684
11,7,1,464703,515684
11,7,2,484611,515684
11,7,3,489641,515684
11,7,4,491941,515684
11,8,0,429450,515684
11,8,1,436905,515684
11,8,2,470020,515684
11,8,3,474195,515684
12,3,0,474588,515684
12,3,1,487548,515684
12,3,2,489581,515684
12,3,3,489813,515684
12,3,4,489858,515684
12,3,5,489886,515684
12,3,6,489881,515684
12,3,7,489905,515684
12,3,8,489885,515684
12,3,9,489895,515684
12,4,0,484066,515684
12,4,1,496137,515684
12,4,2,499626,515684
12,4,3,500283,515684
